id;item_group_id;title;description;link;image_link;price;availability;condition;google_product_category;product_type;additional_image_link;sale_price;brand;gender;age_group;size;size_type;shipping;custom_label_0;adwords_redirect
;;Dunk Low AS Safari Swoosh Chlorophyll;<p>The Dunk Low AS Safari Swoosh Chlorophyll brings a modern remake of the classic Air Safari of 1987. Combining a Safari-patterned design and striking Chlorophyll accents, these shoes create a bold and eye-catching look.</p>;https://costyled.me/products/dunk-low-as-safari-swoosh-chlorophyll;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/dunk-low-as-safari-swoosh-chlorophyll-341666.jpg?v=1680137308;870.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;38.5 EU - 6 US;regular;US:CA:Ground:0 USD;;
;;Dunk Low AS Safari Swoosh Kumquat;<p>The Nike Dunk Low AS Safari Swoosh Kumquat is sure to be an instant classic. The low-cut silhouette is perfect for everyday wear, with a safari-inspired design featuring the beloved Swoosh logo. Whether you're an avid sneaker fan or just getting into the trend, this is an eye-catching shoe that you won't want to miss.</p>;https://costyled.me/products/dunk-low-as-safari-swoosh-kumquat;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/dunk-low-as-safari-swoosh-kumquat-900259.jpg?v=1680137309;1060.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;38.5 EU - 6 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Cherrywood Red;<p>The Air Jordan 1 Mid Cherrywood Red sneaker is a must-have for any fan of the Jordan brand. This unique sneaker has a cherrywood red upper, accompanied by a black midsole and outsole to provide a classic look. With an Air-Sole unit in the heel and a padded ankle collar, this sneaker offers superior cushioning and comfort.</p>;https://costyled.me/products/air-jordan-1-mid-cherrywood-red;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-cherrywood-red-230028.jpg?v=1680136625;900.00;in stock;new;;;;;;;;35.5 EU - 3.5 US;regular;US:CA:Ground:0 USD;;
;;Dunk Low Black White Red;<p>The Dunk Low Black White Red features a clean, classic style built with quality construction. Red and white details on a black upper make this a timeless shoe that is built to last. Sturdy construction and ageless style make this the perfect pick for any sneaker enthusiast.</p>;https://costyled.me/products/dunk-low-black-white-red;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/dunk-low-black-white-red-222622.jpg?v=1680137314;1010.00;in stock;new;;;;;;;;38.5 EU - 6 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Ice Blue;<p>Introducing the Air Jordan 1 Mid Ice Blue, a stylish hybrid classic that expertly blends the iconic style of the Air Jordan 1 with modern comfort. Its lightweight upper is crafted with premium materials, while the classic Wings logo and Nike Swoosh deliver timeless style. Enjoy a comfortable fit and cushioning thanks to its foam midsole and air cushioning.</p>;https://costyled.me/products/air-jordan-1-mid-ice-blue;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-ice-blue-338726.jpg?v=1680136645;1520.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5Y US;regular;US:CA:Ground:0 USD;;
;;Dunk Low Armory Navy;<p>The Dunk Low Armory Navy is designed for all-day comfort and support. Built with a lightweight construction and modern silhouette, it offers maximum cushioning and flexibility. The perfect sneaker for the everyday urbanite.</p>;https://costyled.me/products/dunk-low-armory-navy;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/dunk-low-armory-navy-432069.jpg?v=1680137309;1180.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;36 EU - 4 US;regular;US:CA:Ground:0 USD;;
;;Yeezy Boost 350 V2 Jade Ash;"<p>This autumn, Ye's label brings us the striking <strong><a href=""https://costyled.me/collections/yeezy-350"">Yeezy Boost 350 V2 Jade Ash</a></strong>.</p>
<p>The timeless classic from <a href=""https://costyled.me/collections/yeezy""><strong>Yeezy</strong></a> features its signature design, with a <strong>Primeknit upper</strong> and <strong>grooved BOOST sole</strong>, all in a <strong>uniform sea-green hue</strong>. The only contrast comes from the <strong>black stripe</strong> adorned with the <strong>SPLY-350</strong> branding.</p>
<p>Also, check out the <a href=""https://costyled.me/products/yeezy-boost-350-v2-blue-tint""><strong>Yeezy Boost 350 V2 Blue Tint</strong></a>!</p>
<p><strong>Size advice</strong>: This model runs small, we recommend choosing a 1/2 size larger than your regular size.</p>
<p><strong>Release date:</strong> 22/10/2022</p>
<p><strong>Colorway:</strong> Jade Ash/Jade Ash/Jade Ash</p>";https://costyled.me/products/yeezy-boost-350-v2-jade-ash;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/yeezy-boost-350-v2-jade-ash-488231.jpg?v=1680137808;1990.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;36 EU - 4 US;regular;US:CA:Ground:0 USD;;
;;Dunk Low Next Nature Light Curry;"<p><strong><a href=""https://costyled.me/collections/nike"" data-mce-href=""https://costyled.me/collections/nike"">Nike</a> </strong>continues to expand its eco-friendly collection with the <strong><a href=""https://costyled.me/collections/nike-dunk-low"" data-mce-href=""https://costyled.me/collections/nike-dunk-low"">Dunk Low</a><span> Next Nature Light Curry</span></strong>.</p>
<p>Featuring the <strong>Next Nature</strong> label, this <strong><a href=""https://costyled.me/collections/nike-dunk"" data-mce-href=""https://costyled.me/collections/nike-dunk"">Dunk</a><span> </span></strong><span>crafted with <strong>recycled materials</strong> showcases an <strong>effective two-tone look</strong>. Its <strong>off-white base</strong> is highlighted by <strong>curry overlays</strong>, a shade that also borders the outsole paired with an <strong>immaculate midsole</strong>.</span></p>
<p>In the same vein, also check out the <a href=""https://costyled.me/products/nike-dunk-low-medium-curry""><strong>Dunk Low Medium Curry</strong></a>!<span mce-data-marked=""1""></span></p>
<p><strong>Practical advice</strong><span> </span>: This model fits true to size, we recommend selecting your usual size. </p>
<p><strong>Release date:<span> </span></strong>14/09/2022</p>
<p><strong>Colorway:</strong> Sail/Light Curry</p>";https://costyled.me/products/dunk-low-next-nature-light-curry;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/dunk-low-next-nature-light-curry-856628.jpg?v=1680137397;840.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Chutney Taxi;<p>The Air Jordan 1 Mid Chutney Taxi offers unparalleled style and comfort. Crafted with the highest quality materials, these sneakers feature a sleek black and yellow design, iconic Nike Air cushioning, and a durable rubber sole for maximum traction. Get ready to take your style to the next level.</p>;https://costyled.me/products/air-jordan-1-mid-chutney-taxi;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-chutney-taxi-965030.jpg?v=1680136624;1370.00;in stock;new;;;;;;;;35.5 EU - 3.5 US;regular;US:CA:Ground:0 USD;;
;;Yeezy Boost 350 V2 Slate;"<p>Introducing a fresh take on the collaboration between the <a href=""https://costyled.me/collections/adidas""><strong>adidas</strong></a> brand and <strong>Kanye West</strong> with the <strong><a href=""https://costyled.me/collections/yeezy-350"">Yeezy Boost 350</a> V2 Slate</strong>.</p>
<p>This popular <a href=""https://costyled.me/collections/yeezy""><strong>Yeezy</strong></a> creation maintains its signature design, combining a <strong>Primeknit upper</strong> and a <strong>ridged BOOST midsole</strong> in a <strong>mainly beige</strong> hue, interrupted by a <strong>black central band</strong>, embellished with the eye-catching ""<strong>SPLY-350</strong>"" detail.</p>
<p>Explore a similar vibe with the <a href=""https://costyled.me/products/yeezy-boost-350-v2-core-black-red""><strong>Yeezy Boost 350 V2 Core Black Red</strong></a>!</p>
<p><strong>Useful advice</strong>: This model tends to fit snugly, so we suggest selecting a size that is 1/2 larger than your regular size.</p>
<p><strong>Launch date:</strong> 03/09/2022</p>
<p><strong>Shade:</strong> Slate/Core Black</p>";https://costyled.me/products/yeezy-boost-350-v2-slate;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/yeezy-boost-350-v2-slate-279408.webp?v=1680137981;1760.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;36 EU - 4 US;regular;US:CA:Ground:0 USD;;
;;Dunk Low SE Lottery Green Pale Ivory;"<p><strong><a href=""https://costyled.me/collections/nike"" data-mce-href=""https://costyled.me/collections/nike"">Nike</a> </strong>reimagines its hit with the <strong><a href=""https://costyled.me/collections/nike-dunk-low"" data-mce-href=""https://costyled.me/collections/nike-dunk-low"">Dunk Low</a><span> SE Lottery Green Pale Ivory</span></strong>.</p>
<p><span>The </span><a href=""https://costyled.me/collections/nike-dunk"" data-mce-href=""https://costyled.me/collections/nike-dunk""><strong>Dunk</strong></a> is presented here in a<span> </span><strong>classic leather construction</strong><span> </span>and a <strong>tricolor look</strong>. An <strong>off-white base</strong> is enhanced with <strong>green overlays</strong>, two shades also combined on the soles, while a <strong>central black swoosh</strong> crowns the ensemble. Simple and effective.</p>
<p>In similar shades, also discover the <a href=""https://costyled.me/products/dunk-low-chlorophyll"" data-mce-href=""https://costyled.me/products/dunk-low-chlorophyll""><strong>Dunk Low Chlorophyll</strong></a>!</p>
<p><strong>Fit advice</strong><span> </span>: This model runs true to size; we recommend choosing your regular size.</p>
<p><strong>Release date:<span> </span></strong>31/08/2022</p>
<p><strong>Colorway:<span> </span></strong>Pale Ivory/Black-Malachite-Pale Ivory</p>";https://costyled.me/products/dunk-low-se-lottery-green-pale-ivory;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/dunk-low-se-lottery-green-pale-ivory-439635.webp?v=1680137687;1320.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;40 EU - 7 US;regular;US:CA:Ground:0 USD;;
;;Yeezy Slide Flax;"<p>Experience the perfect blend of style and comfort with the Yeezy Slide Flax. These slides feature a lightweight, breathable design with reinforced support around the foot. The durable rubber sole provides superior comfort and traction, while the subtle earth tones add a distinct style.</p>
<p><strong>Practice advise: </strong> This model fit quite small, we advice to take 1 size more than your habit size.</p>
<p> <br></p>
<p><strong>Release date: </strong> Soon</p>
<p> <br></p>";https://costyled.me/products/yeezy-slide-flax;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/yeezy-slide-flax-312689.jpg?v=1680137868;1050.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;37 EU - 4 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Taxi;<p>The Air Jordan 1 Mid Taxi is a stylish mid-top sneaker designed with the signature Jordan elements. It features the signature AJ Jumpman logo, Air cushioning technology and high-quality outsole materials for superior comfort and durability. With its clean look and comfortable design, this shoe is perfect for casual everyday wear.</p>;https://costyled.me/products/air-jordan-1-mid-taxi;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-taxi-481865.jpg?v=1680136748;980.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;3.5Y US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Black Grape;<p>The Air Jordan 1 Mid Black Grape is the perfect balance of style and comfort. Its leather construction, lightweight cushioning and Air-Sole unit provide reliable support for any activity. Its bold colors and design give it a unique, eye-catching appearance.</p>;https://costyled.me/products/air-jordan-1-mid-black-grape;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-black-grape-874021.jpg?v=1680136405;1460.00;in stock;new;;;;;;;;35.5 EU - 3.5 US;regular;US:CA:Ground:0 USD;;
